"FILE"                  ,"N_ROWS","N_COLUMNS","SHORTEST_ELAPSED_TIME","BEST_FORMAT","coo"                 ,"csr"                  ,"csc"                  ,"dia"                  ,"bsr"                  ,"dok"                  ,"lil"
"pde225.mtx"            ,"225"   ,"225"      ,"0.0081"               ,"bsr"        ,"0.06532669067382812" ,"0.015020370483398438" ,"0.010013580322265625" ,"0.008821487426757812" ,"0.008106231689453125" ,"0.008106231689453125" ,"0.008106231689453125"
"saylr1.mtx"            ,"238"   ,"238"      ,"0.0081"               ,"lil"        ,"0.02193450927734375" ,"0.01621246337890625"  ,"0.010251998901367188" ,"0.00858306884765625"  ,"0.008344650268554688" ,"0.008344650268554688" ,"0.008106231689453125"
"west0167.mtx"          ,"167"   ,"167"      ,"0.0072"               ,"dok"        ,"0.019311904907226562","0.010013580322265625" ,"0.00858306884765625"  ,"0.00762939453125"     ,"0.0073909759521484375","0.007152557373046875" ,"0.007152557373046875"
"adjnoun.mtx"           ,"112"   ,"112"      ,"0.0074"               ,"dok"        ,"0.040531158447265625","0.022649765014648438" ,"0.016689300537109375" ,"0.009775161743164062" ,"0.008106231689453125" ,"0.0073909759521484375","0.00762939453125"
"adjnoun_nodevalue.mtx" ,"112"   ,"1"        ,"0.0062"               ,"bsr"        ,"0.014781951904296875","0.008344650268554688" ,"0.0069141387939453125","0.00667572021484375"  ,"0.006198883056640625" ,"0.0064373016357421875","0.006198883056640625"
"bcspwr04.mtx"          ,"274"   ,"274"      ,"0.0083"               ,"lil"        ,"0.02002716064453125" ,"0.011682510375976562" ,"0.009775161743164062" ,"0.008821487426757812" ,"0.008821487426757812" ,"0.00858306884765625"  ,"0.008344650268554688"
"cavity03_x.mtx"        ,"317"   ,"1"        ,"0.0067"               ,"dok"        ,"0.016927719116210938","0.009298324584960938" ,"0.007867813110351562" ,"0.0073909759521484375","0.007152557373046875" ,"0.00667572021484375"  ,"0.00667572021484375"
"cavity03_b.mtx"        ,"317"   ,"1"        ,"0.0064"               ,"dok"        ,"0.015497207641601562","0.008821487426757812" ,"0.0073909759521484375","0.0069141387939453125","0.00667572021484375"  ,"0.0064373016357421875","0.0064373016357421875"
"cavity03.mtx"          ,"317"   ,"317"      ,"0.0160"               ,"dok"        ,"0.03457069396972656" ,"0.022172927856445312" ,"0.017642974853515625" ,"0.016450881958007812" ,"0.01621246337890625"  ,"0.015974044799804688" ,"0.015974044799804688"
"rajat11.mtx"           ,"135"   ,"135"      ,"0.0074"               ,"bsr"        ,"0.019788742065429688","0.010967254638671875" ,"0.008821487426757812" ,"0.007867813110351562" ,"0.0073909759521484375","0.0073909759521484375","0.01239776611328125"
"grid1.mtx"             ,"252"   ,"252"      ,"0.0074"               ,"dok"        ,"0.017881393432617188","0.010013580322265625" ,"0.00858306884765625"  ,"0.008106231689453125" ,"0.008106231689453125" ,"0.0073909759521484375","0.007867813110351562"
"grid1_coord.mtx"       ,"252"   ,"2"        ,"0.0069"               ,"dok"        ,"0.015974044799804688","0.009298324584960938" ,"0.007867813110351562" ,"0.0073909759521484375","0.007152557373046875" ,"0.0069141387939453125","0.0073909759521484375"
"curtis54.mtx"          ,"54"    ,"54"       ,"0.0062"               ,"dok"        ,"0.015735626220703125","0.008821487426757812" ,"0.007152557373046875" ,"0.0064373016357421875","0.0064373016357421875","0.006198883056640625" ,"0.0064373016357421875"
"gre_115.mtx"           ,"115"   ,"115"      ,"0.0064"               ,"dok"        ,"0.015497207641601562","0.009298324584960938" ,"0.007867813110351562" ,"0.0069141387939453125","0.00667572021484375"  ,"0.0064373016357421875","0.00667572021484375"
"Hamrle1.mtx"           ,"32"    ,"32"       ,"0.0060"               ,"dok"        ,"0.016689300537109375","0.009298324584960938" ,"0.008106231689453125" ,"0.0064373016357421875","0.00667572021484375"  ,"0.0059604644775390625","0.006198883056640625"
"Hamrle1_b.mtx"         ,"32"    ,"1"        ,"0.0064"               ,"dok"        ,"0.04792213439941406" ,"0.0095367431640625"   ,"0.007867813110351562" ,"0.0069141387939453125","0.00667572021484375"  ,"0.0064373016357421875","0.00667572021484375"
"Journals.mtx"          ,"124"   ,"124"      ,"0.0412"               ,"lil"        ,"0.0553131103515625"  ,"0.04553794860839844"  ,"0.04267692565917969"  ,"0.04172325134277344"  ,"0.041484832763671875" ,"0.041961669921875"    ,"0.04124641418457031"
"Journals_partition.mtx","124"   ,"1"        ,"0.0057"               ,"dok"        ,"0.014543533325195312","0.00858306884765625"  ,"0.0069141387939453125","0.0064373016357421875","0.0059604644775390625","0.0057220458984375"   ,"0.006198883056640625"
"rgg010.mtx"            ,"10"    ,"10"       ,"0.0057"               ,"dia"        ,"0.013589859008789062","0.0073909759521484375","0.0064373016357421875","0.0057220458984375"   ,"0.0057220458984375"   ,"0.0057220458984375"   ,"0.0057220458984375"
"cz148.mtx"             ,"148"   ,"148"      ,"0.0081"               ,"dia"        ,"0.01811981201171875" ,"0.011205673217773438" ,"0.009059906005859375" ,"0.008106231689453125" ,"0.008106231689453125" ,"0.008344650268554688" ,"0.008106231689453125"
"mesh2e1.mtx"           ,"306"   ,"306"      ,"0.0091"               ,"lil"        ,"0.019073486328125"   ,"0.012159347534179688" ,"0.010251998901367188" ,"0.010013580322265625" ,"0.009775161743164062" ,"0.009775161743164062" ,"0.009059906005859375"
"mesh2e1_coord.mtx"     ,"306"   ,"2"        ,"0.0069"               ,"dok"        ,"0.01621246337890625" ,"0.009059906005859375" ,"0.008106231689453125" ,"0.0073909759521484375","0.007152557373046875" ,"0.0069141387939453125","0.0073909759521484375"
"mycielskian2.mtx"      ,"2"     ,"2"        ,"0.0057"               ,"dia"        ,"0.014066696166992188","0.008106231689453125" ,"0.0064373016357421875","0.0057220458984375"   ,"0.0059604644775390625","0.0057220458984375"   ,"0.0057220458984375"
"rdb200.mtx"            ,"200"   ,"200"      ,"0.0076"               ,"dok"        ,"0.015735626220703125","0.010013580322265625" ,"0.00858306884765625"  ,"0.007867813110351562" ,"0.007867813110351562" ,"0.00762939453125"     ,"0.007867813110351562"
"rajat14.mtx"           ,"180"   ,"180"      ,"0.0079"               ,"bsr"        ,"0.018596649169921875","0.010967254638671875" ,"0.009059906005859375" ,"0.00858306884765625"  ,"0.007867813110351562" ,"0.007867813110351562" ,"0.008344650268554688"
"d_dyn.mtx"             ,"87"    ,"87"       ,"0.0062"               ,"dok"        ,"0.01621246337890625" ,"0.00858306884765625"  ,"0.007867813110351562" ,"0.0064373016357421875","0.0064373016357421875","0.006198883056640625" ,"0.006198883056640625"
"d_dyn_b.mtx"           ,"87"    ,"1"        ,"0.0055"               ,"dok"        ,"0.013828277587890625","0.007867813110351562" ,"0.0064373016357421875","0.0059604644775390625","0.0057220458984375"   ,"0.0054836273193359375","0.0054836273193359375"
"can_24.mtx"            ,"24"    ,"24"       ,"0.0057"               ,"lil"        ,"0.0152587890625"     ,"0.008344650268554688" ,"0.00667572021484375"  ,"0.0064373016357421875","0.006198883056640625" ,"0.006198883056640625" ,"0.0057220458984375"
"GD06_theory.mtx"       ,"101"   ,"101"      ,"0.0064"               ,"bsr"        ,"0.015020370483398438","0.008344650268554688" ,"0.01811981201171875"  ,"0.0073909759521484375","0.0064373016357421875","0.0064373016357421875","0.00667572021484375"
"mesh3e1.mtx"           ,"289"   ,"289"      ,"0.0083"               ,"dok"        ,"0.018358230590820312","0.011444091796875"    ,"0.009775161743164062" ,"0.009298324584960938" ,"0.009059906005859375" ,"0.008344650268554688" ,"0.00858306884765625"
"mesh3e1_coord.mtx"     ,"289"   ,"2"        ,"0.0069"               ,"bsr"        ,"0.015735626220703125","0.009059906005859375" ,"0.007867813110351562" ,"0.0073909759521484375","0.0069141387939453125","0.0069141387939453125","0.0069141387939453125"
"west0156.mtx"          ,"156"   ,"156"      ,"0.0064"               ,"dok"        ,"0.015735626220703125","0.009059906005859375" ,"0.0073909759521484375","0.007152557373046875" ,"0.00667572021484375"  ,"0.0064373016357421875","0.0064373016357421875"
"Chebyshev1.mtx"        ,"261"   ,"261"      ,"0.0095"               ,"bsr"        ,"0.025510787963867188","0.014066696166992188" ,"0.011205673217773438" ,"0.010251998901367188" ,"0.0095367431640625"   ,"0.0095367431640625"   ,"0.009775161743164062"
"mycielskian6.mtx"      ,"47"    ,"47"       ,"0.0067"               ,"dok"        ,"0.017404556274414062","0.0095367431640625"   ,"0.008106231689453125" ,"0.007152557373046875" ,"0.007152557373046875" ,"0.00667572021484375"  ,"0.0069141387939453125"
"ex1.mtx"               ,"216"   ,"216"      ,"0.0117"               ,"lil"        ,"0.029802322387695312","0.016689300537109375" ,"0.013589859008789062" ,"0.013113021850585938" ,"0.01239776611328125"  ,"0.012159347534179688" ,"0.011682510375976562"
"lesmis.mtx"            ,"77"    ,"77"       ,"0.0079"               ,"dok"        ,"0.019788742065429688","0.012159347534179688" ,"0.0095367431640625"   ,"0.008821487426757812" ,"0.008344650268554688" ,"0.007867813110351562" ,"0.008344650268554688"
"dwt_198.mtx"           ,"198"   ,"198"      ,"0.0079"               ,"bsr"        ,"0.019311904907226562","0.011682510375976562" ,"0.009298324584960938" ,"0.008344650268554688" ,"0.007867813110351562" ,"0.007867813110351562" ,"0.008106231689453125"
"sphere2_coord.mtx"     ,"66"    ,"3"        ,"0.0062"               ,"bsr"        ,"0.018835067749023438","0.00858306884765625"  ,"0.008106231689453125" ,"0.00667572021484375"  ,"0.006198883056640625" ,"0.006198883056640625" ,"0.0064373016357421875"
"sphere2.mtx"           ,"66"    ,"66"       ,"0.0062"               ,"dok"        ,"0.015735626220703125","0.008821487426757812" ,"0.00762939453125"     ,"0.00667572021484375"  ,"0.0064373016357421875","0.006198883056640625" ,"0.0064373016357421875"
"celegansneural.mtx"    ,"297"   ,"297"      ,"0.0129"               ,"dok"        ,"0.024080276489257812","0.015735626220703125" ,"0.014066696166992188" ,"0.0133514404296875"   ,"0.013113021850585938" ,"0.012874603271484375" ,"0.012874603271484375"
