"FILE"                          ,"N_ROWS"    ,"N_COLUMNS" ,"SHORTEST_ELAPSED_TIME","BEST_FORMAT","coo"       ,"csr"       ,"csc"       ,"dia"       ,"bsr"       ,"dok"       ,"lil"
"pde225.mtx                    ","       225","       225","    0.0076"           ,"       dok" ,"    0.0627","    0.0174","    0.0100","    0.0086","    0.0083","    0.0076","    0.0079"
"saylr1.mtx                    ","       238","       238","    0.0076"           ,"       dok" ,"    0.0169","    0.0107","    0.0093","    0.0086","    0.0081","    0.0076","    0.0079"
"west0167.mtx                  ","       167","       167","    0.0069"           ,"       dok" ,"    0.0179","    0.0095","    0.0086","    0.0076","    0.0072","    0.0069","    0.0069"
"adjnoun.mtx                   ","       112","       112","    0.0074"           ,"       bsr" ,"    0.0224","    0.0107","    0.0088","    0.0079","    0.0074","    0.0074","    0.0076"
"adjnoun_nodevalue.mtx         ","       112","         1","    0.0060"           ,"       bsr" ,"    0.0143","    0.0079","    0.0067","    0.0064","    0.0060","    0.0062","    0.0062"
"bcspwr04.mtx                  ","       274","       274","    0.0086"           ,"       dia" ,"    0.0176","    0.0112","    0.0095","    0.0086","    0.0086","    0.0088","    0.0086"
"cavity03_x.mtx                ","       317","         1","    0.0069"           ,"       dia" ,"    0.0155","    0.0093","    0.0074","    0.0069","    0.0069","    0.0069","    0.0069"
"cavity03_b.mtx                ","       317","         1","    0.0067"           ,"       dok" ,"    0.0157","    0.0088","    0.0074","    0.0072","    0.0069","    0.0067","    0.0067"
"cavity03.mtx                  ","       317","       317","    0.0150"           ,"       dia" ,"    0.0293","    0.0174","    0.0157","    0.0150","    0.0150","    0.0150","    0.0150"
"rajat11.mtx                   ","       135","       135","    0.0074"           ,"       bsr" ,"    0.0165","    0.0100","    0.0083","    0.0076","    0.0074","    0.0074","    0.0076"
"grid1.mtx                     ","       252","       252","    0.0076"           ,"       dia" ,"    0.0162","    0.0103","    0.0086","    0.0076","    0.0076","    0.0076","    0.0079"
"grid1_coord.mtx               ","       252","         2","    0.0072"           ,"       bsr" ,"    0.0155","    0.0091","    0.0076","    0.0074","    0.0072","    0.0072","    0.0072"
"curtis54.mtx                  ","        54","        54","    0.0064"           ,"       dok" ,"    0.0150","    0.0088","    0.0074","    0.0069","    0.0069","    0.0064","    0.0064"
"gre_115.mtx                   ","       115","       115","    0.0062"           ,"       lil" ,"    0.0155","    0.0091","    0.0076","    0.0069","    0.0067","    0.0067","    0.0062"
"Hamrle1.mtx                   ","        32","        32","    0.0057"           ,"       dok" ,"    0.0138","    0.0079","    0.0069","    0.0060","    0.0060","    0.0057","    0.0062"
